"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12","TERM13","TERM14"
"MATH 111","78.0","95.6","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS 255","78.2","94.3","98.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SPE 111","83.0","96.9","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI 121","80.6","95.9","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BIO 200","79.6","96.3","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO 201","76.7","95.0","99.2","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS 102","0.0","80.2","96.9","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS 145","0.0","80.5","96.8","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI 122","0.0","63.2","89.6","96.9","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"HUM","0.0","77.3","95.1","98.7","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO 202","0.0","58.8","92.7","98.3","99.4","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 361","0.0","24.1","80.0","95.6","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS 251","0.0","0.0","65.6","90.9","97.9","99.3","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS 311","0.0","0.0","69.4","93.0","98.6","99.7","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS 275","0.0","0.0","56.5","89.9","98.1","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ACC 201","0.0","0.0","28.1","85.2","96.2","98.9","99.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS 317","0.0","0.0","11.1","78.2","96.0","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS 118","0.0","0.0","0.5","63.8","90.9","98.2","99.6","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI 227","0.0","0.0","0.0","47.1","86.1","97.3","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 362","0.0","0.0","0.0","28.0","80.8","96.0","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS 218","0.0","0.0","0.0","0.2","47.0","80.8","94.6","98.5","99.5","100.0","100.0","100.0","100.0","100.0"
"MIS 357","0.0","0.0","0.5","14.0","76.3","95.0","98.8","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"SOC 225","0.0","0.0","0.0","2.8","56.1","90.1","97.7","99.5","99.8","100.0","100.0","100.0","100.0","100.0"
"ACC 203","0.0","0.0","0.0","0.0","33.3","81.5","95.9","99.3","99.9","99.9","100.0","100.0","100.0","100.0"
"BIO 103","0.0","0.0","0.0","0.0","15.1","72.7","93.4","98.7","99.5","100.0","100.0","100.0","100.0","100.0"
"BUS 223","0.0","0.0","0.0","0.0","7.7","66.4","92.8","99.0","99.8","99.9","99.9","100.0","100.0","100.0"
"MGT 335","0.0","0.0","0.0","0.0","1.2","45.9","86.4","97.2","99.5","100.0","100.0","100.0","100.0","100.0"
"ACC 325","0.0","0.0","0.0","0.0","0.0","22.6","69.3","91.5","97.1","98.8","99.6","99.7","100.0","100.0"
"BUS 313","0.0","0.0","0.0","0.0","0.0","24.2","73.2","95.7","99.1","99.4","99.9","100.0","100.0","100.0"
"MIS 312","0.0","0.0","0.0","0.0","0.0","8.0","62.0","91.3","97.9","99.8","100.0","100.0","100.0","100.0"
"MIS 334","0.0","0.0","0.0","0.0","0.0","2.6","50.7","86.5","97.4","99.8","99.8","100.0","100.0","100.0"
"BUS 356","0.0","0.0","0.0","0.0","0.0","0.5","34.4","78.9","95.2","98.9","99.6","100.0","100.0","100.0"
"MIS 322","0.0","0.0","0.0","0.0","0.0","0.0","13.6","75.8","114.7","122.9","123.9","124.2","124.2","124.2"
"MIS 341","0.0","0.0","0.0","0.0","0.0","0.0","4.1","46.8","87.1","96.6","99.5","100.0","100.0","100.0"
"PHIL 342","0.0","0.0","0.0","0.0","0.0","0.0","12.7","55.8","87.2","97.1","99.6","99.8","100.0","100.0"
"SOC 305","0.0","0.0","0.0","0.0","0.0","0.0","0.8","31.0","76.8","94.4","98.6","99.9","100.0","100.0"
"BUS 316","0.0","0.0","0.0","0.0","0.0","0.0","0.1","18.1","64.2","91.0","98.0","99.5","99.9","100.0"
"MIS 344","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.9","47.9","84.7","96.4","99.0","99.8","100.0"
"MIS 442","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.4","33.3","75.2","91.8","97.7","99.8","100.0"
"MIS 495","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.6","51.0","84.1","95.5","99.0","99.8","100.0"
"SPE 321","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4","34.4","79.8","95.4","99.6","99.9","100.0"
"BUS 457","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","20.7","66.6","92.8","98.5","99.6","99.9"
"MIS 345","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.7","53.8","87.3","97.2","99.3","100.0"
"MIS 445","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.7","40.3","82.6","95.6","99.0","99.9"
"MIS 496","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4","26.4","69.6","89.7","97.5","99.1"
"WRI 410","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4","26.6","72.6","91.9","98.5","99.8"
"ANTH 452","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","17.6","63.3","90.3","97.7","99.8"
"MIS 446","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","9.5","48.2","82.7","96.2","98.8"
"MIS 497","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2","21.4","60.7","84.9","95.0"
"STAT 414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.8","29.4","72.8","93.1","98.4"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.9","30.7","70.4","90.9","98.0"
"BUS 478","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","10.3","52.6","85.4","96.1"
