"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"BUS1750","80.5","95.2","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"DANC1450","78.3","96.3","99.3","99.8","99.9","100.0","100.0","100.0","100.0","100.0"
"ENGL1000","79.6","96.2","99.3","99.8","99.9","100.0","100.0","100.0","100.0","100.0"
"MATH1140","79.0","96.0","99.1","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CIS1020","80.9","97.0","99.1","99.7","99.9","100.0","100.0","100.0","100.0","100.0"
"ENGL1050","0.0","79.7","95.2","99.2","100.0","100.0","100.0","100.0","100.0","100.0"
"HOL1000","0.0","79.5","95.7","99.3","99.8","100.0","100.0","100.0","100.0","100.0"
"MATH1160","0.0","75.4","94.4","98.7","99.8","100.0","100.0","100.0","100.0","100.0"
"SOC2000","0.0","57.8","91.5","98.9","99.7","99.9","99.9","100.0","100.0","100.0"
"ACTY2100","0.0","26.2","86.3","97.2","99.7","99.9","100.0","100.0","100.0","100.0"
"ECON2010","0.0","0.0","78.6","96.2","99.4","99.9","100.0","100.0","100.0","100.0"
"MGMT2500","0.0","0.0","71.4","93.8","99.1","99.7","100.0","100.0","100.0","100.0"
"STAT2160","0.0","0.0","54.1","85.9","96.7","98.8","99.7","99.9","99.9","99.9"
"ACTY2110","0.0","0.0","18.9","73.1","90.9","98.1","99.7","99.9","100.0","100.0"
"BUS2700","0.0","0.0","52.2","89.3","98.0","99.7","99.9","100.0","100.0","100.0"
"ECON2020","0.0","0.0","27.0","82.0","97.1","99.5","100.0","100.0","100.0","100.0"
"GWS2000","0.0","0.0","0.0","63.0","92.2","98.2","99.7","100.0","100.0","100.0"
"MKTG2500","0.0","0.0","0.0","57.9","88.7","98.0","99.7","100.0","100.0","100.0"
"THEA1000","0.0","0.0","0.0","29.6","83.0","96.9","99.2","99.8","100.0","100.0"
"REL1000","0.0","0.0","0.0","12.8","74.8","93.7","99.0","99.9","100.0","100.0"
"MGMT2520","0.0","0.0","0.0","2.3","60.0","91.4","98.6","99.6","99.9","100.0"
"ECON3090","0.0","0.0","0.0","0.0","44.9","87.6","97.2","99.4","100.0","100.0"
"LAW3800","0.0","0.0","0.0","0.0","28.5","81.1","96.0","99.3","100.0","100.0"
"MGMT2750","0.0","0.0","0.0","0.0","14.5","75.2","95.9","99.5","99.9","100.0"
"MGMT3010(Elect)","0.0","0.0","0.0","0.0","7.4","65.8","92.2","98.1","99.8","99.9"
"BUS3750","0.0","0.0","0.0","0.0","5.3","52.4","87.2","96.9","99.1","99.6"
"DANC1020","80.0","91.8","92.9","96.8","97.5","98.9","99.9","99.9","100.0","100.0"
"DANC3897","0.0","51.3","59.0","76.6","84.8","93.2","98.8","99.8","100.0","100.0"
"LAW3840","0.0","0.0","0.0","0.0","0.7","38.8","85.4","97.9","99.8","99.9"
"MGMT3520","0.0","0.0","0.0","0.0","0.0","25.2","79.2","96.7","99.8","100.0"
"MGMT4070","0.0","0.0","0.0","0.0","0.0","11.2","65.3","92.2","98.1","99.4"
"ANTH1200","0.0","0.0","0.0","0.0","0.0","8.2","62.5","91.9","98.4","99.7"
"GEOS3120","0.0","0.0","0.0","0.0","0.0","3.1","51.8","88.0","96.6","99.4"
"MGMT4320","0.0","0.0","0.0","0.0","0.0","1.2","36.9","83.5","96.1","99.3"
"MGMT4510","0.0","0.0","0.0","0.0","0.0","0.0","23.2","76.6","94.3","99.3"
"MGMT4540","0.0","0.0","0.0","0.0","0.0","0.0","12.5","67.6","92.1","98.3"
"BUS4750","0.0","0.0","0.0","0.0","0.0","0.0","7.4","60.6","92.0","98.7"
"FCS2140","0.0","0.0","0.0","0.0","0.0","0.0","3.4","47.2","86.4","97.1"
"FIN3200","0.0","0.0","0.0","0.0","0.0","0.0","1.1","34.3","81.6","96.7"
"FIN3600(Elect)","0.0","0.0","0.0","0.0","0.0","0.0","0.3","22.6","75.0","93.4"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.1","10.6","50.1","83.7"
