"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12","TERM13","TERM14"
"MATH111","80.6","96.5","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SPE111","81.2","96.1","99.1","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI121","82.6","97.1","99.2","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"LAB SCI","80.3","96.1","99.0","99.7","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO201","0.0","65.0","91.1","97.7","99.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS102","79.0","95.7","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS145","0.0","63.2","90.3","97.8","99.8","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI122","0.0","65.3","89.7","97.3","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"HUM","82.4","96.3","99.0","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS215","0.0","75.7","93.8","98.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO202","0.0","33.5","82.9","96.6","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS251","0.0","0.0","48.9","81.5","95.4","99.3","99.7","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS275","0.0","14.6","83.4","96.7","99.4","99.8","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS311","0.0","7.7","67.0","93.7","98.6","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ACC201","0.0","1.3","47.4","88.3","98.1","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS118","0.0","0.0","17.3","80.2","95.5","99.2","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS273","0.0","0.0","0.0","57.2","89.3","97.2","99.0","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI227","0.0","0.0","2.1","58.2","89.0","97.6","99.5","99.7","99.9","100.0","100.0","100.0","100.0","100.0"
"BUS223","0.0","0.0","0.6","41.4","86.0","97.7","99.2","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH361","0.0","0.0","0.0","17.3","75.2","95.1","98.7","99.6","99.8","100.0","100.0","100.0","100.0","100.0"
"MIS218","0.0","0.0","0.0","3.8","53.8","87.1","96.3","98.6","99.6","99.7","100.0","100.0","100.0","100.0"
"SPE321","0.0","0.0","0.1","1.2","58.8","90.9","98.7","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"ELEC","0.0","0.0","0.0","0.2","38.8","83.1","96.9","99.6","100.0","100.0","100.0","100.0","100.0","100.0"
"ACC203","0.0","0.0","0.0","0.0","21.2","77.4","94.6","98.8","99.9","100.0","100.0","100.0","100.0","100.0"
"MATH362","0.0","0.0","0.0","0.0","5.7","54.2","86.9","96.8","99.1","99.6","99.8","99.9","100.0","100.0"
"MGT335","0.0","0.0","0.0","0.0","1.9","55.8","90.1","97.9","99.6","99.9","100.0","100.0","100.0","100.0"
"PSY201","0.0","0.0","0.0","0.0","0.0","35.8","82.4","96.4","99.2","99.9","99.9","100.0","100.0","100.0"
