"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"BUS 1000","81.2","95.2","99.4","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"ENGL 1050","80.6","96.2","98.9","99.8","99.9","100.0","100.0","100.0","100.0","100.0"
"BUS 1750","79.6","96.3","99.0","99.9","99.9","99.9","100.0","100.0","100.0","100.0"
"CIS 1020","83.0","96.9","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 1160","78.3","96.3","99.7","99.8","99.9","99.9","100.0","100.0","100.0","100.0"
"AREA 1","79.0","95.9","99.2","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MKTG 2500","0.0","80.5","96.1","99.1","100.0","100.0","100.0","100.0","100.0","100.0"
"ACTY 2100","0.0","81.0","96.0","99.4","99.8","100.0","100.0","100.0","100.0","100.0"
"ECON 2010","0.0","80.1","95.5","99.2","99.9","99.9","100.0","100.0","100.0","100.0"
"ECON 2020","0.0","72.8","94.9","98.8","99.8","100.0","100.0","100.0","100.0","100.0"
"STAT 2160","0.0","53.6","90.9","96.9","99.1","100.0","100.0","100.0","100.0","100.0"
"MGMT 2800","0.0","20.5","85.2","97.4","99.6","100.0","100.0","100.0","100.0","100.0"
"AREA 2","0.0","0.0","77.2","95.3","99.0","99.8","100.0","100.0","100.0","100.0"
"BUS 2200","0.0","0.0","73.8","94.6","98.8","99.6","99.9","100.0","100.0","100.0"
"CHEM 1100","79.9","94.1","160.3","196.1","197.2","197.4","197.4","197.4","197.4","197.4"
"CHEM 1110","0.0","0.0","46.4","88.7","98.1","99.9","100.0","100.0","100.0","100.0"
"ACTY 2110","0.0","0.0","23.7","80.1","94.1","98.5","99.5","100.0","100.0","100.0"
"CIS 2700","0.0","0.0","7.0","77.3","96.0","99.1","99.8","100.0","100.0","100.0"
"MGMT 2500","0.0","0.0","0.0","67.8","93.9","98.6","99.7","99.8","99.9","99.9"
"AREA 3","0.0","0.0","0.0","54.2","90.8","98.0","99.8","99.9","100.0","100.0"
"EDMM 1420","0.0","0.0","0.0","39.3","87.8","97.1","99.4","99.9","99.9","100.0"
"MGMT 3200","0.0","0.0","0.0","15.3","65.1","88.2","96.8","98.7","99.6","99.8"
"EDMM 3280","0.0","0.0","0.0","20.0","77.7","95.2","99.1","99.8","99.9","100.0"
"MGMT 3810","0.0","0.0","0.0","2.6","66.5","92.8","98.9","99.8","100.0","100.0"
"MKTG 3720","0.0","0.0","0.0","0.0","56.1","90.3","97.9","99.8","100.0","100.0"
"AREA 4","0.0","0.0","0.0","0.0","41.0","86.2","97.4","99.1","99.9","100.0"
"EDMM 1500","0.0","0.0","48.5","91.0","123.6","189.7","200.5","201.1","201.1","201.1"
"EDMM 1501","0.0","0.0","0.0","0.0","12.3","72.6","93.6","98.6","99.8","100.0"
"BCM 3700","0.0","0.0","0.0","0.0","3.0","61.3","92.0","99.2","99.8","99.9"
"FIN 3200","0.0","0.0","0.0","0.0","0.3","47.7","88.1","97.9","99.7","100.0"
"BUS 3750","0.0","0.0","0.0","0.0","0.0","31.4","81.9","96.3","99.1","99.7"
"BUS 4500","0.0","0.0","0.0","0.0","0.0","0.1","38.1","76.5","93.0","99.0"
"MGMT 4640","0.0","0.0","0.0","0.0","0.0","0.0","24.8","71.1","91.4","97.2"
"Elective 1","0.0","0.0","0.0","0.0","0.0","18.2","76.5","95.6","98.9","99.5"
"Elective 2","0.0","0.0","0.0","0.0","0.0","8.7","68.5","92.2","98.7","99.9"
"AREA 5","0.0","0.0","0.0","0.0","0.0","5.2","54.2","88.9","98.2","100.0"
"EDMM 4880","0.0","0.0","0.0","0.0","0.0","0.7","31.9","78.6","95.9","99.2"
"MAJOR1","0.0","0.0","0.0","0.0","0.0","0.0","13.4","69.5","93.1","98.5"
"MAJOR2","0.0","0.0","0.0","0.0","0.0","0.0","5.9","58.0","90.1","98.1"
"LAW 3800","0.0","0.0","0.0","0.0","0.0","0.0","2.3","46.8","87.1","97.2"
"GEOG 3010","0.0","0.0","0.0","0.0","0.0","0.0","0.2","32.3","77.7","95.0"
"MKTG 4630","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.2","69.9","91.9"
"LAW 4840","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","38.3","77.9"
"BUS 4000","0.0","0.0","0.0","0.0","11.9","72.5","84.2","86.5","92.9","98.4"
"BUS 4750","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5","33.9","76.9"
"AREA 8","0.0","0.0","0.0","0.0","0.0","2.4","11.9","23.9","67.2","93.4"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","14.8","57.7"
