"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"ENGL1050","79.3","96.5","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH1100","79.9","95.9","99.3","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"GE Area I","78.3","95.8","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"HSV2250","78.7","95.4","99.3","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"BIOS1120","79.0","95.8","98.9","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"PHIL2010","0.0","79.5","96.9","99.4","99.9","100.0","100.0","100.0","100.0","100.0"
"PSY1000","0.0","79.4","96.8","99.3","99.9","100.0","100.0","100.0","100.0","100.0"
"BUS1750","0.0","73.8","94.0","98.2","99.7","99.9","100.0","100.0","100.0","100.0"
"BIOS2110","0.0","58.8","90.7","98.7","99.5","99.9","100.0","100.0","100.0","100.0"
"HSV4860","0.0","24.1","81.7","95.4","99.1","100.0","100.0","100.0","100.0","100.0"
"HOL1000","0.0","0.0","77.2","94.5","98.3","99.6","100.0","100.0","100.0","100.0"
"HSV3700","0.0","0.0","68.1","94.3","99.0","99.7","99.9","100.0","100.0","100.0"
"Elective","0.0","0.0","57.0","91.5","98.3","99.8","99.8","100.0","100.0","100.0"
"BIOS2400","0.0","0.0","30.3","84.8","96.8","99.3","99.8","100.0","100.0","100.0"
"HSV3900","0.0","0.0","0.0","55.6","87.3","96.8","99.2","99.8","100.0","100.0"
"Elective","0.0","0.0","8.2","72.4","93.7","98.6","99.9","100.0","100.0","100.0"
"MDSC2010","0.0","51.1","88.7","96.9","99.4","99.9","100.0","100.0","100.0","100.0"
"HSV4880","0.0","0.0","4.2","58.8","91.0","99.0","100.0","100.0","100.0","100.0"
"HSV4400","0.0","0.0","0.0","36.9","85.2","97.1","99.4","99.9","99.9","100.0"
"HOL4700","0.0","0.0","0.0","18.7","78.2","95.1","98.9","99.8","100.0","100.0"
"STAT1600","0.0","0.0","0.0","5.3","68.4","92.6","98.7","99.9","100.0","100.0"
"Elective","0.0","0.0","0.0","3.8","57.7","89.0","97.5","99.6","100.0","100.0"
"Elective","0.0","0.0","0.0","0.0","33.5","82.2","97.9","99.5","99.8","100.0"
"HSV4800","0.0","0.0","0.0","0.0","28.2","80.2","96.4","99.5","99.9","100.0"
"PHIL3340","0.0","0.0","0.0","0.0","7.6","65.3","93.1","98.7","99.7","100.0"
"HSV3650","0.0","0.0","25.4","40.1","65.5","87.1","96.8","99.5","99.8","100.0"
"Elective","0.0","0.0","0.0","0.0","0.8","47.7","87.2","97.8","99.2","100.0"
"Elective","0.0","0.0","0.0","0.0","0.0","36.4","81.7","96.2","99.0","99.7"
"HSV4200","0.0","0.0","0.0","0.0","0.0","18.5","72.7","94.0","98.6","99.9"
"HSV4100","0.0","0.0","0.0","0.0","0.0","8.1","63.2","92.5","98.5","99.6"
"GE Area IV","0.0","0.0","0.0","0.0","0.0","1.6","48.1","87.0","97.6","99.7"
"Elective","0.0","0.0","0.0","0.0","0.0","1.1","38.8","81.3","96.7","99.5"
"Elective","0.0","0.0","0.0","0.0","0.0","0.0","20.5","72.7","93.3","97.9"
"HSV4900","0.0","0.0","0.0","0.0","0.0","0.0","9.5","66.1","103.6","112.1"
"HSV4780","0.0","0.0","0.0","0.0","0.0","0.0","3.4","50.8","87.5","97.6"
"Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.6","37.4","80.5","95.1"
"Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.1","18.8","69.9","92.1"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.3","51.7","83.6"
