"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12","TERM13","TERM14"
"FM","79.7","95.2","99.2","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 101/102/103","0.0","64.1","88.4","96.7","99.0","99.9","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 121","0.0","0.0","51.3","80.7","93.4","97.1","99.0","99.8","99.8","100.0","100.0","100.0","100.0","100.0"
"MATH 153","0.0","0.0","0.0","42.2","73.4","89.1","95.3","98.0","99.4","99.6","99.9","100.0","100.0","100.0"
"ENGL 110","80.6","95.8","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 162","0.0","0.0","0.0","0.0","34.6","65.2","84.4","93.0","96.8","98.8","99.5","99.9","100.0","100.0"
"ME 160L","78.8","96.1","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 121","81.0","96.4","99.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 123L","81.4","95.5","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Fine Arts","78.9","95.8","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL 120","0.0","63.2","89.4","97.8","99.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 163","0.0","0.0","0.0","0.0","0.0","28.5","57.8","78.8","90.1","96.0","98.2","99.5","99.9","100.0"
"CS 151L","81.1","96.5","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"PHYC 160","0.0","0.0","0.0","0.0","0.0","26.8","57.8","80.4","90.6","95.3","97.7","99.1","99.9","100.0"
"PHYC 160L","80.3","95.3","98.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Humanities","80.8","96.2","99.3","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CE 202","0.0","0.0","0.0","0.0","0.0","0.0","17.6","45.2","68.9","84.1","92.9","96.2","98.3","99.9"
"ME 260L","0.0","41.3","79.4","94.0","99.0","99.6","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 264","0.0","0.0","0.0","0.0","0.0","0.0","22.5","50.5","73.8","85.7","94.1","97.3","99.1","99.8"
"PHYC 161","0.0","0.0","0.0","0.0","0.0","0.0","18.0","43.9","68.6","83.5","92.7","96.0","98.5","99.6"
"ME 217","79.8","96.2","99.1","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ME 306","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.4","32.7","58.7","75.8","88.1","93.5","97.2"
"MATH 316","0.0","0.0","0.0","0.0","0.0","0.0","22.2","50.1","73.7","87.3","94.6","97.1","98.9","99.6"
"ECE 203","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.6","39.2","62.7","79.1","90.0","95.2","98.2"
"ME 318L","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.6","33.6","58.7","74.7","87.6","93.5","97.2"
"Writing and Speaking Core","80.2","95.5","98.9","99.6","99.8","99.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ME 317L","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.3","21.4","44.3","64.0","80.1","88.6"
"ME 301","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.4","32.1","58.5","76.6","88.1","94.4","97.2"
"CE 302","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.6","33.5","59.7","76.6","89.1","94.4","97.4"
"Math Elective","79.1","96.9","99.6","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Humanities","80.3","96.6","99.6","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ME 360L","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","29.6","52.0","71.6","84.7","92.6"
"ME 357","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.8","27.1","51.6","69.8","83.0","91.3"
"ME 370L","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.4","28.8","51.9","72.2","85.8","92.5"
"ME 352L","82.0","96.4","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECON 105","78.1","95.6","99.0","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Second Language or ME 406L","81.0","96.3","99.2","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ME 320L","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","17.2","39.3","59.5","74.9"
"ME 459","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.1","29.5","54.4","71.6","85.9","93.3"
"ME 380","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","23.6","46.4","65.7","79.0"
"ME Technical Elective or ME 407","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","22.9","44.9","64.8","78.3"
