"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11"
"Accelerated Math","78.6","95.2","98.8","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ENG 101","0.0","60.2","86.9","96.6","98.9","99.6","99.9","100.0","100.0","100.0","100.0"
"ENGL 110","80.8","96.1","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ME 160L","81.8","96.0","99.3","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 121","81.1","95.8","99.1","99.9","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"CHEM 123L","78.8","96.7","99.6","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 162","0.0","0.0","47.3","81.4","94.0","98.0","99.5","99.8","100.0","100.0","100.0"
"ENGL 120","0.0","64.3","88.9","97.3","99.1","100.0","100.0","100.0","100.0","100.0","100.0"
"CS 151L","79.4","95.4","98.9","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"PHYC 160","0.0","0.0","48.0","78.7","92.7","97.8","99.4","99.8","100.0","100.0","100.0"
"PHYC 160L","80.4","96.4","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ME 217","79.6","97.2","99.6","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 163","0.0","0.0","0.0","38.7","72.0","89.4","96.6","98.8","99.6","99.8","100.0"
"CE 202","0.0","0.0","48.2","78.7","94.1","97.8","99.2","99.9","100.0","100.0","100.0"
"ME 260L","0.0","41.5","78.5","94.2","98.1","99.6","99.8","100.0","100.0","100.0","100.0"
"PHYC 161","0.0","0.0","0.0","38.8","71.1","89.6","96.1","98.6","99.7","100.0","100.0"
"Fine Arts","80.6","96.2","98.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 264","0.0","0.0","0.0","0.0","30.6","63.6","83.9","93.7","97.5","99.1","99.7"
"CE 302","0.0","0.0","0.0","38.9","70.8","89.6","96.5","98.6","99.4","99.8","99.8"
"ECE 203","0.0","0.0","47.6","79.8","92.7","97.8","99.1","99.8","99.9","99.9","100.0"
"ME 318L","0.0","0.0","49.1","78.8","94.1","97.8","99.1","99.8","99.9","100.0","100.0"
"Humanities","81.4","96.2","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Writing and Speaking Core","81.5","97.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 316","0.0","0.0","0.0","0.0","30.2","62.5","83.2","94.3","97.3","98.9","99.8"
"ME 306","0.0","0.0","0.0","0.0","0.0","24.9","55.3","77.3","90.0","96.2","98.1"
"ME 301","0.0","0.0","0.0","0.0","0.0","22.6","54.3","77.0","89.4","95.6","98.0"
"Math Elective","80.5","95.9","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECON 105","78.9","95.7","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ME 317L","0.0","0.0","0.0","0.0","0.0","0.0","18.6","47.6","70.8","86.2","93.8"
"ME 360L","0.0","0.0","0.0","0.0","0.0","16.6","44.8","70.5","86.8","94.3","97.5"
"ME 357","0.0","0.0","0.0","0.0","0.0","0.0","18.5","46.5","70.9","85.5","93.6"
"ME 370L","0.0","0.0","0.0","0.0","28.6","62.1","83.7","93.0","97.1","98.5","99.3"
"ME 352L","81.1","96.7","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Second Language or ME 406L","79.0","95.4","99.0","99.6","99.9","99.9","99.9","100.0","100.0","100.0","100.0"
"ME 320L","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.2","38.9","63.9","81.0"
"ME 459","0.0","0.0","0.0","0.0","30.6","65.0","85.7","93.7","97.7","99.2","99.7"
"ME 380","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.5","40.1","64.0","80.4"
"ME Technical Elective or ME 407","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.3","40.5","65.2","80.8"
"Humanities","78.9","96.8","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ME 460 or ME 408","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.5","24.3","48.5"
"Technical Elective","79.5","96.4","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ME Technical Elective 1","79.8","96.3","99.2","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ME Technical Elective 2","79.4","96.9","99.5","99.7","99.7","99.8","100.0","100.0","100.0","100.0","100.0"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.3","23.8","47.3"
