"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12","TERM13","TERM14"
"BUS101","80.7","96.0","99.4","99.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH111","81.4","96.3","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"PSY201","79.4","96.0","98.9","99.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI121","79.8","97.0","99.3","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"LAB SCI","81.3","95.7","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS215","0.0","81.7","96.5","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO201","0.0","65.6","89.8","97.2","99.0","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS102","77.3","95.7","99.0","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SPE111","0.0","78.1","95.6","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI122","0.0","58.1","88.2","97.1","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ELEC","0.0","52.1","90.4","98.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO202","0.0","25.9","81.3","95.9","99.3","99.9","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS206","0.0","0.0","77.9","95.4","99.1","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SPE321","0.0","0.0","58.6","88.8","97.6","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI227","0.0","0.0","42.8","79.5","93.7","98.6","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"HUM","0.0","0.0","54.8","89.9","98.4","99.6","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ACC201","0.0","0.0","10.7","77.6","95.0","98.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS223","0.0","0.0","18.9","76.5","94.8","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH361","0.0","0.0","0.0","53.2","89.3","98.2","99.5","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS113","0.0","0.0","0.0","36.1","86.1","97.5","99.2","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS256","0.0","0.0","0.0","17.1","73.5","93.5","98.8","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"BUS318","0.0","0.0","0.0","2.8","56.9","87.1","97.1","98.9","99.4","99.8","100.0","100.0","100.0","100.0"
"BUS349","0.0","0.0","0.0","2.3","54.8","90.0","97.8","99.7","99.9","99.9","100.0","100.0","100.0","100.0"
"MATH371","0.0","0.0","0.0","0.0","36.4","83.4","96.4","99.5","100.0","100.0","100.0","100.0","100.0","100.0"
