"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"BUS 1000","80.6","96.0","99.2","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL 1050","79.5","94.7","99.3","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 1160","79.7","96.5","99.6","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"ECON 2010","78.3","95.3","99.1","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"ACTY 2100","81.3","95.4","99.0","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS 1750","79.7","95.3","98.7","99.7","99.9","100.0","100.0","100.0","100.0","100.0"
"ACTY 2110","0.0","66.6","90.1","98.0","99.4","100.0","100.0","100.0","100.0","100.0"
"CIS 1020","0.0","76.8","96.0","99.6","99.9","100.0","100.0","100.0","100.0","100.0"
"ECON 2020","0.0","78.9","95.9","99.1","99.9","100.0","100.0","100.0","100.0","100.0"
"STAT 2160","0.0","58.0","88.6","97.6","99.4","99.7","99.8","100.0","100.0","100.0"
"COM 1000","0.0","55.9","90.8","98.3","99.7","99.9","100.0","100.0","100.0","100.0"
"MGMT 2500","0.0","31.8","80.9","95.7","98.9","99.7","99.8","99.9","100.0","100.0"
"AREA 1","0.0","0.0","76.7","95.9","99.0","99.9","100.0","100.0","100.0","100.0"
"AREA 2","0.0","0.0","71.7","94.4","98.2","99.5","99.8","100.0","100.0","100.0"
"BUS 2200","0.0","0.0","63.6","93.0","99.0","99.7","100.0","100.0","100.0","100.0"
"CIS 2700","0.0","0.0","37.2","82.9","95.7","99.1","99.9","100.0","100.0","100.0"
"MKTG 2500","0.0","0.0","23.2","83.2","96.3","99.1","99.9","100.0","100.0","100.0"
"BCM 3700","0.0","0.0","6.4","76.1","94.5","99.4","99.6","99.9","100.0","100.0"
"BUS 3750","0.0","0.0","0.0","53.0","86.1","95.9","98.9","99.4","99.8","100.0"
"MAJOR1","0.0","0.0","0.0","59.3","91.9","98.7","99.9","99.9","100.0","100.0"
"FIN 3200","0.0","0.0","0.0","37.2","84.3","96.6","98.9","99.7","99.9","100.0"
"LAW 3800","0.0","0.0","0.0","23.9","80.5","94.1","99.0","99.8","99.9","100.0"
"BUS 4000","81.0","86.7","86.9","87.8","96.4","99.5","99.7","99.8","100.0","100.0"
"BUS 4500","0.0","0.0","0.0","5.6","53.6","84.3","96.2","99.4","99.8","100.0"
"BUS 4750","0.0","0.0","0.0","0.0","30.0","70.1","89.5","97.6","99.1","99.6"
"AREA 3","0.0","0.0","0.0","3.8","66.2","92.3","98.3","99.6","99.9","100.0"
"MAJOR2","0.0","0.0","0.0","0.0","49.1","86.8","97.1","99.7","100.0","100.0"
"MGMT 2520","0.0","0.0","0.0","0.0","27.9","81.6","96.9","99.7","99.9","100.0"
"MGMT 2750","0.0","0.0","0.0","0.0","13.3","73.7","94.7","98.8","99.5","99.9"
"MGMT 3010","0.0","0.0","0.0","0.0","3.1","59.9","90.4","98.3","99.5","99.8"
"ACTY 3220","0.0","0.0","0.0","0.0","1.0","47.4","86.0","96.3","99.3","99.9"
"AREA 4","0.0","0.0","0.0","0.0","0.0","32.8","81.2","95.7","99.0","99.6"
"CHEM 1100","0.0","0.0","0.0","0.0","0.0","9.5","69.4","106.2","113.1","113.6"
"CHEM 1110","0.0","0.0","0.0","0.0","0.0","3.3","54.1","90.2","97.9","99.7"
"AREA 5","0.0","0.0","0.0","0.0","0.0","0.4","40.9","84.8","97.2","99.5"
"MGMT 4010","0.0","0.0","0.0","0.0","0.0","0.5","25.1","70.5","91.7","97.8"
"MGMT 4020","0.0","0.0","0.0","0.0","0.0","0.0","10.7","59.9","89.2","97.7"
"Elective 1","0.0","0.0","0.0","0.0","0.0","9.9","19.4","59.9","90.0","97.6"
"Elective 2","0.0","0.0","0.0","0.0","0.0","0.0","1.1","42.7","84.7","96.8"
"CS 1000","0.0","0.0","0.0","0.0","0.0","0.0","0.5","29.4","77.4","95.2"
"AREA 7","0.0","0.0","0.0","0.0","0.0","0.0","0.1","23.2","70.0","92.0"
"Elective 3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.6","61.1","90.2"
"Elective 4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","23.2","65.2"
"AREA 8","0.0","22.6","25.6","27.0","36.8","42.5","48.8","65.8","86.9","96.9"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0","54.1"
