"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"BUS 1000","80.2","96.3","99.6","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL 1050","80.7","97.2","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS 1750","81.0","95.9","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"CIS 1020","82.3","96.1","98.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 1160","79.5","95.7","99.0","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"COM 1000","78.8","95.7","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"AREA 1","0.0","79.5","95.8","98.9","99.9","100.0","100.0","100.0","100.0","100.0"
"ECON 2010","0.0","78.5","95.5","98.9","99.9","100.0","100.0","100.0","100.0","100.0"
"ACTY 2100","0.0","79.6","95.4","99.1","99.7","100.0","100.0","100.0","100.0","100.0"
"ACTY 2110","0.0","0.0","63.7","90.4","97.1","99.1","99.9","100.0","100.0","100.0"
"ECON 2020","0.0","73.7","93.8","98.5","99.7","99.9","100.0","100.0","100.0","100.0"
"STAT 2160","0.0","47.8","85.1","96.2","99.2","99.7","100.0","100.0","100.0","100.0"
"BUS 2200","0.0","26.0","85.0","96.6","99.4","99.8","99.9","100.0","100.0","100.0"
"AREA 2","0.0","0.0","80.2","97.3","99.7","99.9","100.0","100.0","100.0","100.0"
"CIS 2700","0.0","0.0","65.2","92.6","98.6","99.5","99.9","100.0","100.0","100.0"
"MKTG 2500","0.0","0.0","51.8","92.1","97.9","99.7","99.9","100.0","100.0","100.0"
"BCM 3700","0.0","0.0","28.4","85.6","97.1","99.6","100.0","100.0","100.0","100.0"
"AREA 3","0.0","0.0","7.0","78.4","95.1","98.8","99.9","100.0","100.0","100.0"
"AREA 4","0.0","0.0","0.0","70.8","94.9","98.9","99.9","100.0","100.0","100.0"
"MGMT 2500","0.0","0.0","0.0","57.4","90.0","98.5","99.8","100.0","100.0","100.0"
"MAJOR","0.0","0.0","0.0","41.5","87.2","98.0","99.6","99.9","100.0","100.0"
"FIN 3200","0.0","0.0","0.0","21.2","78.5","94.0","98.4","99.7","99.8","99.9"
"LAW 3800","0.0","0.0","0.0","9.5","75.5","95.3","99.4","99.8","100.0","100.0"
"AREA 5","0.0","0.0","0.0","2.2","66.6","93.5","98.0","99.7","99.9","100.0"
"Elective 1","0.0","0.0","0.0","0.0","53.3","89.9","98.5","99.6","99.9","100.0"
"CHEM 1100","79.3","95.3","98.4","98.8","137.4","197.1","202.9","203.3","203.4","203.4"
"CHEM 1110","0.0","0.0","0.0","0.0","20.6","77.0","95.8","99.2","99.8","100.0"
"BUS 3750","0.0","0.0","0.0","0.0","9.0","66.7","91.6","98.4","99.7","100.0"
"BUS 4000","0.0","0.0","0.0","0.0","22.1","77.8","95.8","98.7","99.8","100.0"
"BUS 4500","0.0","0.0","0.0","0.0","2.1","49.4","81.6","95.5","98.9","99.4"
"Elective 2","0.0","0.0","0.0","0.0","1.4","53.5","88.9","98.3","99.7","99.9"
"AREA 7","0.0","0.0","0.0","0.0","0.1","36.3","84.5","96.9","99.7","100.0"
"AREA 8","0.0","0.0","0.0","0.0","0.0","21.2","78.9","96.0","99.3","100.0"
"MAJOR1","0.0","0.0","0.0","0.0","0.0","13.3","73.7","94.8","99.1","100.0"
"BUS 4750","0.0","0.0","0.0","0.0","0.0","4.4","46.6","79.2","94.1","98.0"
"MKTG 3710","0.0","0.0","0.0","0.0","0.0","2.1","55.0","91.0","99.3","100.0"
"MKTG 3740","0.0","0.0","0.0","0.0","0.0","0.3","36.9","85.6","97.1","99.5"
"MKTG 4750","0.0","0.0","0.0","0.0","0.0","0.0","22.3","78.0","95.7","99.3"
"MKTG 4770","0.0","0.0","0.0","0.0","0.0","0.0","1.5","43.2","82.0","94.8"
"MKTG 4860","0.0","0.0","0.0","0.0","0.0","0.0","0.3","23.1","66.4","90.2"
"MKTG 2900","0.0","0.0","0.0","0.0","0.0","0.0","12.2","65.8","93.1","98.3"
"MKTG 3600","0.0","0.0","0.0","0.0","0.0","0.0","6.0","51.3","86.9","97.2"
"Elective 3","0.0","0.0","0.0","0.0","0.0","0.0","1.6","29.3","78.3","94.2"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.5","39.6","77.6"
