"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12","TERM13","TERM14"
"BUS101","78.3","95.7","98.5","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH111","80.4","97.3","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"PSY201","78.4","95.0","99.2","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI121","81.5","97.0","99.2","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"LAB SCI","78.7","96.2","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS215","0.0","80.1","96.7","99.5","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO201","0.0","63.8","90.8","97.0","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS102","77.0","95.0","98.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SPE111","0.0","78.6","96.6","99.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI122","0.0","60.2","91.1","97.6","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ELEC","0.0","53.4","89.3","97.7","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO202","0.0","23.8","81.6","96.3","99.3","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS206","0.0","0.0","75.6","94.6","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SPE321","0.0","0.0","58.7","89.0","98.0","99.3","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI227","0.0","0.0","44.5","81.0","93.9","97.8","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"HUM","0.0","0.0","53.9","90.0","97.7","99.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ACC201","0.0","0.0","11.1","76.8","94.6","98.8","99.7","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS223","0.0","0.0","16.0","74.0","94.6","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH361","0.0","0.0","0.0","53.8","91.3","98.2","99.5","99.8","99.9","99.9","100.0","100.0","100.0","100.0"
"MIS113","0.0","0.0","0.0","36.6","84.8","96.2","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS256","0.0","0.0","0.0","17.2","76.9","94.1","98.7","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS318","0.0","0.0","0.0","2.3","53.9","87.0","95.9","98.9","99.8","100.0","100.0","100.0","100.0","100.0"
"BUS349","0.0","0.0","0.0","2.0","57.4","90.0","97.6","99.2","99.9","100.0","100.0","100.0","100.0","100.0"
"MATH371","0.0","0.0","0.0","0.0","39.5","84.4","96.4","98.8","99.8","100.0","100.0","100.0","100.0","100.0"
"PHIL342","0.0","0.0","0.0","0.0","21.7","77.0","95.5","99.1","99.7","99.9","100.0","100.0","100.0","100.0"
"ACC203","0.0","0.0","0.0","0.0","7.1","60.2","90.6","98.0","99.7","100.0","100.0","100.0","100.0","100.0"
"BUS397","0.0","0.0","0.0","0.0","0.7","39.2","80.4","93.8","97.9","99.6","99.9","99.9","100.0","100.0"
"MIS225","0.0","0.0","0.0","0.0","0.0","38.4","84.1","96.7","99.3","99.8","100.0","100.0","100.0","100.0"
"ELEC","0.0","0.0","0.0","0.0","0.8","31.5","77.3","95.3","99.0","99.7","99.9","99.9","100.0","100.0"
"BUS319","0.0","0.0","0.0","0.0","0.0","11.0","66.4","92.4","98.3","99.9","100.0","100.0","100.0","100.0"
"BUS356","0.0","0.0","0.0","0.0","0.0","2.1","49.9","86.5","96.9","99.5","99.8","100.0","100.0","100.0"
"BUS467","0.0","0.0","0.0","0.0","0.0","0.7","35.3","81.4","96.0","98.8","99.7","100.0","100.0","100.0"
"MGT321","0.0","0.0","0.0","0.0","0.0","0.0","22.6","73.2","93.5","98.6","99.9","100.0","100.0","100.0"
"MIS375","0.0","0.0","0.0","0.0","0.0","0.0","12.5","61.1","88.5","97.9","99.4","99.9","100.0","100.0"
"ACC325","0.0","0.0","0.0","0.0","0.0","0.0","3.8","50.1","85.1","97.3","99.3","99.9","100.0","100.0"
"BUS226","0.0","0.0","0.0","0.0","0.0","0.0","0.9","37.5","79.6","95.2","99.4","99.8","100.0","100.0"
"BUS326","0.0","0.0","0.0","0.0","0.0","0.0","0.1","24.1","72.8","92.9","98.6","99.7","100.0","100.0"
"COMM","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.5","65.1","89.7","97.3","99.4","99.7","99.9"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.3","50.9","86.5","97.2","99.3","99.9","99.9"
"BUS435","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5","40.4","82.8","95.3","99.0","99.9","100.0"
"BUS456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7","33.6","76.6","95.2","98.6","99.8","100.0"
"BUS473","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","22.7","67.5","92.5","98.1","99.3","100.0"
"MGT335","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.7","59.3","88.0","97.4","99.6","100.0"
"BUS308","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.9","50.3","84.2","96.5","99.5","99.7"
"BUS495","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.9","44.4","77.4","92.1","98.0"
"BUS441","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","41.4","81.1","94.8","98.8","99.6"
"PSY347","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.8","30.0","75.0","94.2","99.0","99.9"
"HUM","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","21.0","66.0","90.9","98.1","99.4"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.2","54.1","86.6","96.8","99.7"
"ANTH452","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.1","42.5","80.4","94.9","99.2"
"BUS447","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.8","22.5","65.5","88.0","96.3"
"BUS496","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.2","37.1","69.1","87.4"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.3","26.2","69.3","91.6","98.2"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","12.7","54.5","86.4","97.3"
"BUS434","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.4","44.2","80.4","94.9"
"BUS442","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.8","34.5","72.9","92.8"
"BUS478","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.6","22.3","68.2","90.8"
"BUS497","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.9","30.2","61.6"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.4","20.2","52.8"
