"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"CS 151L","80.3","95.8","99.1","99.6","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL 110","79.8","96.2","98.6","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 162","78.7","96.1","99.5","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"Freshman Academic Choice","81.2","96.7","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Core Requirement","81.0","96.3","99.6","99.7","99.9","100.0","100.0","100.0","100.0","100.0"
"MATH 163","0.0","63.8","90.2","97.6","99.3","100.0","100.0","100.0","100.0","100.0"
"ENGL 120","0.0","64.5","90.0","97.1","99.2","99.9","99.9","100.0","100.0","100.0"
"Minor Requirement","0.0","80.6","96.8","99.4","99.8","100.0","100.0","100.0","100.0","100.0"
"Core Requirement","0.0","75.0","94.9","98.9","99.6","99.9","99.9","100.0","100.0","100.0"
"Core Requirement","0.0","43.0","88.6","97.9","99.3","99.8","99.9","99.9","99.9","100.0"
"MATH 264","0.0","0.0","50.7","82.8","94.9","98.8","99.4","99.9","100.0","100.0"
"MATH 327","0.0","0.0","50.2","81.3","94.2","98.3","99.6","99.8","100.0","100.0"
"Minor Requirement","0.0","0.0","68.3","94.5","98.4","99.8","99.9","100.0","100.0","100.0"
"ENGL 219","0.0","0.0","39.2","80.1","93.6","97.8","99.8","99.8","99.9","100.0"
"Core Requirement","0.0","0.0","34.6","83.9","97.2","99.6","99.9","99.9","100.0","100.0"
"MATH 321","0.0","0.0","0.0","41.0","75.3","90.6","97.2","99.0","99.7","99.9"
"MATH 313","0.0","0.0","0.0","39.0","74.3","90.9","96.8","99.0","99.7","100.0"
"Core Requirement","0.0","0.0","8.0","70.0","93.6","99.0","99.6","100.0","100.0","100.0"
"Core Requirement","0.0","0.0","0.0","51.8","89.6","98.4","99.8","100.0","100.0","100.0"
"Minor Requirement","0.0","0.0","0.0","27.6","82.1","97.1","99.6","100.0","100.0","100.0"
"MATH 401","0.0","0.0","0.0","0.0","29.9","65.3","86.5","95.4","98.1","99.3"
"MATH Elective","0.0","0.0","0.0","7.0","68.1","92.2","97.6","99.3","99.7","99.9"
"Core Requirement","0.0","0.0","0.0","0.5","49.1","89.1","97.6","99.2","100.0","100.0"
"Upper Division Elective","0.0","0.0","0.0","0.0","30.2","81.2","96.0","98.8","99.9","99.9"
"Minor Requirement","0.0","0.0","0.0","0.0","14.2","73.8","94.7","99.1","99.8","100.0"
"MATH 402","0.0","0.0","0.0","0.0","0.0","22.3","57.2","80.3","92.5","97.1"
"MATH 412","0.0","0.0","0.0","0.0","1.0","44.0","80.4","93.7","98.5","99.3"
"Elective","81.5","96.4","99.2","99.4","99.8","99.9","100.0","100.0","100.0","100.0"
"Minor Requirement","0.0","0.0","0.0","0.0","2.1","44.0","85.2","96.8","98.6","99.2"
"Physical & Natural Sciences","0.0","0.0","0.0","0.0","0.1","19.2","73.6","94.7","98.4","99.8"
"MATH 322","0.0","0.0","0.0","0.0","0.0","15.7","66.0","91.6","98.5","99.7"
"Minor Requirement","0.0","0.0","0.0","0.0","0.0","2.0","45.5","86.0","97.0","99.5"
"Elective","0.0","0.0","0.0","0.0","0.0","0.4","29.9","79.7","96.0","99.6"
"Upper Division Elective","0.0","0.0","0.0","0.0","0.0","0.1","18.7","72.7","93.4","98.1"
"Upper Division Elective","0.0","0.0","0.0","0.0","0.0","0.0","10.6","62.6","90.7","97.4"
"MATH Elective","0.0","0.0","0.0","0.0","0.0","0.0","5.0","50.6","86.2","97.4"
"Minor Requirement","0.0","0.0","0.0","0.0","0.0","0.0","1.0","37.1","82.0","96.3"
"Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.1","25.7","74.1","94.4"
"Elective","0.0","64.5","89.6","92.9","96.8","98.4","99.4","99.8","100.0","100.0"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.9","48.9","82.3"
