"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"MATH 1220","80.0","95.8","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 1100","81.5","96.6","99.1","99.6","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 1110","79.2","95.3","98.8","99.7","99.9","100.0","100.0","100.0","100.0","100.0"
"IEE 1020","81.0","96.2","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"EDMM 1420","79.5","96.6","98.8","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"AREA 1","79.4","96.2","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 1230","0.0","66.2","88.8","97.3","99.3","99.7","100.0","100.0","100.0","100.0"
"PHYS 2050","0.0","61.9","87.9","97.5","99.6","100.1","100.1","100.2","100.2","100.2"
"PHYS 2060","0.0","62.3","88.5","97.4","99.3","100.0","100.0","100.0","100.0","100.0"
"CS 1022","81.0","95.3","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ME 2615","0.0","60.7","90.6","97.7","99.2","99.9","99.9","99.9","100.0","100.0"
"AREA 2","0.0","59.9","92.7","98.3","99.8","100.0","100.0","100.0","100.0","100.0"
"MATH 2720","0.0","0.0","53.5","81.7","94.5","98.4","99.3","99.9","100.0","100.0"
"PHYS 2070","0.0","0.0","42.6","74.1","92.4","98.2","100.3","100.7","100.9","101.0"
"PHYS 2080","0.0","0.0","41.3","74.6","92.0","97.5","99.3","99.8","99.9","99.9"
"ME 2320","0.0","0.0","30.3","67.4","88.2","96.9","99.1","99.6","99.9","100.0"
"ME 2560","0.0","0.0","22.2","65.4","89.3","96.5","98.7","99.5","99.8","100.0"
"MATH 3740","0.0","0.0","0.0","41.2","73.5","90.7","96.5","98.8","99.6","99.9"
"ME 2500","0.0","0.0","35.9","76.1","92.7","98.1","99.6","99.9","99.9","100.0"
"ME 2570","0.0","0.0","0.0","18.2","57.0","82.6","94.8","97.5","99.0","99.7"
"ECE 2100","0.0","0.0","0.0","34.0","64.5","86.4","95.2","98.3","99.4","99.9"
"ME 2580","0.0","0.0","0.0","14.5","53.9","81.6","93.5","97.6","99.2","99.8"
"ME 3560","0.0","0.0","0.0","0.0","7.6","38.1","68.9","87.2","95.1","98.4"
"ME 3580","0.0","0.0","0.0","0.0","12.1","46.3","76.2","89.5","95.9","98.9"
"ME 3620","0.0","0.0","14.7","42.8","78.6","93.1","97.9","99.5","99.8","100.0"
"CHEM 1120","0.0","35.7","72.0","111.6","157.7","170.8","172.2","172.3","172.6","172.6"
"CHEM 1130","0.0","10.6","29.0","38.7","77.2","94.3","99.1","99.9","100.0","100.0"
"ME 3650","0.0","0.0","0.0","0.0","7.3","38.7","68.2","86.9","94.3","97.9"
"ME 3350","0.0","0.0","0.0","0.0","3.1","31.3","63.7","85.3","94.1","97.8"
"ME 3600","0.0","0.0","0.0","0.0","0.0","29.3","62.7","83.2","93.4","97.7"
"ME 4310","0.0","0.0","0.0","0.0","0.0","6.4","32.9","62.1","82.1","91.5"
"ME 4320","0.0","0.0","0.0","0.0","0.0","5.5","31.1","61.1","81.3","92.2"
"ECE 2110","0.0","0.0","0.0","0.0","14.7","45.9","76.4","92.2","97.1","98.5"
"ME 4790","0.0","0.0","0.0","0.0","0.0","0.0","13.2","41.9","69.7","86.0"
"ME Design Elective","0.0","14.5","27.2","33.2","50.4","72.2","92.3","98.4","99.2","99.7"
"ME Elective 1","0.0","9.9","19.7","25.1","34.3","52.4","80.6","95.7","99.1","99.9"
"ME Elective 2","0.0","2.0","9.9","15.5","21.3","37.2","69.9","91.8","97.8","99.6"
"AREA 5","0.0","0.0","4.5","10.1","13.4","25.7","53.8","87.2","97.7","99.7"
"AREA 3","0.0","0.0","1.9","5.6","7.7","17.4","34.9","77.2","94.8","98.9"
"IEE 3090","0.0","0.0","2.3","5.3","23.8","48.8","67.5","88.0","97.6","99.4"
"ME 4800","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.5","36.0","62.3"
"ME Design Elective 2","0.0","0.0","0.9","3.5","4.9","8.8","19.2","59.9","90.3","98.1"
"ME Elective 3","0.0","0.0","0.0","1.9","2.7","4.6","11.6","44.6","85.9","96.6"
"AREA 4","0.0","0.0","0.0","0.8","1.9","2.7","6.7","29.2","77.2","94.7"
"AREA 8","0.0","14.7","21.1","25.0","26.2","30.6","42.1","61.2","86.3","97.1"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.8","20.2","53.0"
