"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"ENGL 101","79.8","96.5","99.7","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 162","82.4","95.9","98.8","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"CS 151L","79.9","95.6","98.9","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 121","81.3","96.2","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 123L","79.7","96.9","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Humanities Core","80.1","96.8","99.2","99.7","99.9","100.0","100.0","100.0","100.0","100.0"
"ENGL 102","0.0","65.6","89.6","97.5","99.5","100.0","100.0","100.0","100.0","100.0"
"MATH 163","0.0","64.6","90.0","97.3","99.2","99.8","100.0","100.0","100.0","100.0"
"PHYC 160","0.0","79.7","96.3","99.3","100.0","100.0","100.0","100.0","100.0","100.0"
"ME 160L","0.0","73.1","94.6","99.4","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 122","0.0","31.9","80.7","95.2","98.8","99.7","99.9","100.0","100.0","100.0"
"CHEM 124L","0.0","33.4","80.4","96.3","98.9","99.6","99.9","100.0","100.0","100.0"
"CE 202","0.0","0.0","40.7","78.2","93.1","97.7","99.7","100.0","100.0","100.0"
"ME 260L","0.0","0.0","57.7","86.9","96.5","99.3","99.8","100.0","100.0","100.0"
"MATH 264","0.0","0.0","51.7","81.9","94.4","98.5","99.5","100.0","100.0","100.0"
"PHYC 161","0.0","0.0","48.8","86.1","95.3","99.3","99.9","100.0","100.0","100.0"
"ME 217","0.0","0.0","29.4","80.9","95.8","99.2","99.9","99.9","100.0","100.0"
"ME 306","0.0","0.0","0.0","26.5","62.1","85.0","95.1","99.0","99.6","100.0"
"MATH 316","0.0","0.0","6.4","66.2","90.8","97.4","99.6","99.7","99.7","100.0"
"ECE 203","0.0","0.0","0.0","49.2","87.6","97.3","99.5","99.7","99.9","100.0"
"ME 318L","0.0","0.0","0.0","12.3","57.7","83.6","95.4","98.9","99.6","99.9"
"Writing & Speaking","0.0","8.8","20.0","47.1","85.0","97.7","99.5","99.9","100.0","100.0"
"ME 301","0.0","0.0","0.0","0.4","48.1","82.2","94.3","98.9","99.8","99.9"
"ME 317L","0.0","0.0","0.0","0.0","4.8","36.4","67.8","87.1","96.5","98.7"
"CE 302","0.0","0.0","0.0","1.9","41.3","80.2","94.0","98.8","99.7","100.0"
"Math Elective","0.0","0.0","2.9","14.4","46.4","85.8","97.4","99.6","99.9","100.0"
"ECON 105","0.0","0.0","0.2","7.3","25.8","75.3","94.8","99.1","99.8","99.9"
"ME 302","0.0","0.0","0.0","0.0","0.3","34.7","72.3","89.6","97.5","99.6"
"ME 360L","0.0","0.0","0.0","0.0","0.6","27.0","67.3","89.4","96.6","98.8"
"ME 357","0.0","0.0","0.0","0.0","0.7","20.7","69.4","89.3","96.9","98.6"
"ME 370L","0.0","0.0","0.0","0.0","0.2","12.9","59.2","85.3","95.2","99.0"
"ME 352","0.0","0.0","0.0","0.0","0.0","10.9","57.3","87.3","96.6","99.3"
"Second Language","0.0","0.0","0.0","3.0","10.8","23.9","63.0","91.0","97.5","99.3"
"ME 320L","0.0","0.0","0.0","0.0","0.0","0.0","18.9","57.6","80.6","92.9"
"ME 459","0.0","0.0","0.0","0.0","0.0","0.6","22.7","70.6","92.2","97.8"
"ME 380","0.0","0.0","0.0","0.0","0.0","0.1","9.8","51.7","81.8","94.2"
"ME Elective","0.0","0.0","0.0","0.7","4.5","11.7","21.1","61.1","90.6","98.5"
"Fine Arts","0.0","0.0","0.0","0.1","2.4","6.1","9.9","44.2","83.6","95.9"
"ME 460","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.8","25.8","58.3"
"Technical Elective","0.0","0.0","0.0","0.0","0.9","3.5","7.0","29.6","76.8","94.5"
"ME Elective","0.0","0.0","0.0","0.0","0.5","1.8","4.3","20.0","66.6","92.1"
"ME Tech Elective","0.0","0.0","0.0","0.0","0.1","0.8","2.5","8.7","50.0","85.3"
"Humanities Core","0.0","0.0","0.0","0.0","0.0","0.4","1.3","2.6","32.3","77.0"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.5","39.6"
