"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"DANC 1250","79.4","96.2","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"DANC 1210","81.8","96.4","99.0","99.8","99.9","100.0","100.0","100.0","100.0","100.0"
"DANC 1010","79.9","96.0","99.3","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"AREA 2","80.4","95.8","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL 1050","81.0","96.1","99.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"DANC 1200","0.0","80.5","95.5","99.1","100.0","100.0","100.0","100.0","100.0","100.0"
"DANC 2200","0.0","78.4","95.3","98.6","99.6","99.7","100.0","100.0","100.0","100.0"
"DANC 1020","0.0","80.4","96.5","99.1","99.9","100.0","100.0","100.0","100.0","100.0"
"AREA 3","0.0","75.8","94.2","98.3","99.5","100.0","100.0","100.0","100.0","100.0"
"MUS 2000","0.0","57.4","91.4","98.7","99.7","99.9","100.0","100.0","100.0","100.0"
"MUS 1595","0.0","60.8","90.6","98.6","99.9","100.0","100.0","100.0","100.0","100.0"
"AREA 4","0.0","27.1","83.8","97.1","99.5","99.9","100.0","100.0","100.0","100.0"
"THEA 1200","0.0","0.0","74.5","95.8","99.2","100.0","100.0","100.0","100.0","100.0"
"MATH 1160","0.0","0.0","68.6","94.0","99.2","99.9","100.0","100.0","100.0","100.0"
"DANC 2250","0.0","0.0","66.8","92.6","99.1","100.0","100.0","100.0","100.0","100.0"
"MUS 2595","0.0","0.0","35.9","79.5","94.0","98.7","99.7","99.8","100.0","100.0"
"MUS 3000","0.0","0.0","26.5","83.9","96.2","99.1","99.8","100.0","100.0","100.0"
"THEA 1410","0.0","0.0","17.9","79.9","95.8","99.1","99.8","99.9","100.0","100.0"
"AREA 5","0.0","0.0","0.0","65.9","92.2","98.8","99.8","99.9","100.0","100.0"
"Elective 1","0.0","0.0","0.0","49.2","89.1","98.1","99.7","99.9","99.9","100.0"
"THEA 1420","0.0","0.0","0.0","10.4","65.2","90.2","97.2","99.5","99.8","99.9"
"THEA 2410","0.0","0.0","0.0","5.1","63.9","89.0","96.4","99.0","99.7","99.9"
"THEA 2720","0.0","0.0","0.0","27.2","76.5","95.5","98.9","99.8","100.0","100.0"
"CHEM 1100","80.7","117.1","170.3","223.1","295.3","318.8","320.4","320.5","320.5","320.5"
"CHEM 1110","0.0","0.0","0.0","3.4","55.9","90.3","97.7","99.7","100.0","100.0"
"AREA 7","0.0","0.0","0.0","0.0","38.0","86.4","97.4","99.6","100.0","100.0"
"THEA 2450","0.0","0.0","0.0","0.0","5.6","52.2","82.6","94.6","98.4","99.7"
"Elective 2","0.0","0.0","0.0","0.0","14.7","70.3","94.0","98.9","99.9","100.0"
"DANC 4960","0.0","0.0","0.0","0.0","23.3","72.6","93.0","99.0","99.7","100.0"
"MUS 2950","0.0","0.0","0.0","0.0","0.0","34.2","75.5","93.1","97.9","99.3"
"AREA 8","0.0","0.0","0.0","0.0","3.5","56.6","90.5","97.5","99.5","99.8"
"THEA 2460","0.0","0.0","0.0","0.0","0.0","3.5","41.5","72.0","90.2","96.8"
"THEA 3720","0.0","0.0","0.0","0.0","0.2","32.3","77.5","94.8","99.0","99.7"
"THEA 4990","0.0","0.0","0.0","3.0","30.6","61.4","89.3","98.1","99.6","99.9"
"DANC 4950","0.0","0.0","0.0","0.0","0.0","0.0","27.1","65.5","87.9","96.1"
"MUS 1995","0.0","0.0","0.0","0.0","0.0","19.2","73.1","93.1","98.1","99.8"
"THEA 3510","0.0","0.0","0.0","0.0","0.0","0.0","25.1","64.0","87.2","96.1"
"COM 1000","0.0","0.0","0.0","0.0","0.0","7.5","49.9","85.1","96.4","99.0"
"THEA 4950","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.5","56.8","81.8"
"THEA 2900","0.0","0.0","0.0","0.0","1.4","21.5","62.1","90.2","98.7","100.0"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.6","49.4","78.5"
