"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"MUS1010","80.8","95.8","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MUS 1590","82.4","96.2","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MUS 1600","81.0","96.1","99.0","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MUS 1620","80.5","95.8","98.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Performance elective ","78.5","94.7","99.1","99.6","99.7","100.0","100.0","100.0","100.0","100.0"
"MUS 2810","83.3","96.6","99.2","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"PSY 1000","80.9","95.9","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"General Education elective","80.6","97.6","99.8","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"MUS 2000 ","80.4","95.3","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MUS 1610","0.0","82.4","96.6","99.5","99.9","100.0","100.0","100.0","100.0","100.0"
"MUS 1630","77.5","95.8","98.7","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"MUS 1700 ","0.0","82.4","96.8","99.6","99.9","99.9","100.0","100.0","100.0","100.0"
"Performance elective ","79.0","95.6","98.9","99.7","99.9","100.0","100.0","100.0","100.0","100.0"
"MUS 1200 ","0.0","65.6","90.1","97.4","99.5","100.0","100.0","100.0","100.0","100.0"
"MUS 3830","0.0","68.4","89.5","98.1","99.9","99.9","100.0","100.0","100.0","100.0"
"MUS 1260","0.0","64.4","89.6","97.1","99.0","99.9","100.0","100.0","100.0","100.0"
"General Education elective ","0.0","76.9","95.4","98.8","99.6","100.0","100.0","100.0","100.0","100.0"
"Applied music","0.0","71.0","93.1","98.5","99.7","100.0","100.0","100.0","100.0","100.0"
"MUS 2600 ","0.0","0.0","67.2","91.4","98.2","99.3","99.8","99.9","100.0","100.0"
"MUS 2590 ","0.0","54.1","87.9","96.3","99.3","99.9","99.9","99.9","100.0","100.0"
"MUS 2700 ","0.0","28.8","84.6","97.1","99.4","99.9","100.0","100.0","100.0","100.0"
"MUS 1210 ","0.0","42.4","85.8","97.4","99.5","99.9","99.9","100.0","100.0","100.0"
"MUS 2890","0.0","0.0","50.5","79.9","94.0","98.2","99.7","100.0","100.0","100.0"
"Performance elective ","0.0","11.2","81.1","95.6","99.5","99.9","100.0","100.0","100.0","100.0"
"MUS 2800","0.0","0.0","76.3","95.6","99.2","99.9","100.0","100.0","100.0","100.0"
"General Education elective ","0.0","0.0","66.2","93.4","98.6","99.7","100.0","100.0","100.0","100.0"
"Applied music","0.0","0.0","59.0","92.5","98.7","99.8","100.0","100.0","100.0","100.0"
"MUS 2610 ","0.0","0.0","18.0","81.2","96.2","99.5","99.8","99.9","100.0","100.0"
"MUS 2650 ","0.0","0.0","46.3","88.0","97.9","99.4","100.0","100.0","100.0","100.0"
"MUS 2710 ","0.0","0.0","2.5","77.3","94.6","98.6","99.8","100.0","100.0","100.0"
"MUS 2200 ","0.0","0.0","19.5","80.8","96.0","98.7","99.6","99.9","100.0","100.0"
"Performance elective ","0.0","0.0","3.7","75.7","94.3","98.1","99.6","100.0","100.0","100.0"
"MUS 2150 ","0.0","0.0","0.1","70.7","93.9","98.9","99.8","99.8","99.9","100.0"
"MUS 2900","0.0","0.0","0.0","52.0","87.5","96.8","99.2","99.7","100.0","100.0"
"MUS 1170 ","0.0","0.0","0.0","58.0","90.1","98.1","99.8","99.9","100.0","100.0"
"MUS 4720","0.0","0.0","0.0","0.0","39.1","76.2","92.8","97.7","99.5","100.0"
"MUS 3800* ","0.0","0.0","0.0","37.9","87.0","97.4","99.3","99.9","99.9","100.0"
"General Education electives (8credit)","0.0","0.0","0.0","0.8","67.1","93.0","98.3","99.7","100.0","100.0"
"MUS 2210 ","0.0","0.0","0.0","37.6","81.7","95.8","99.2","99.9","100.0","100.0"
"Professional electives","0.0","0.0","0.0","17.3","65.7","93.2","98.6","99.8","99.9","100.0"
"MUS 4730","0.0","0.0","0.0","0.0","0.0","31.8","65.9","87.2","95.1","98.5"
"MUS 3810","0.0","0.0","0.0","7.1","46.7","87.5","97.7","99.9","99.9","100.0"
"General Education electives (7credit)","0.0","0.0","0.0","0.0","1.6","61.4","91.9","99.2","99.7","100.0"
"MUS 5300 ","0.0","0.0","0.0","0.0","16.2","69.4","93.1","99.0","99.9","100.0"
"MUS 2790 ","0.0","0.0","0.0","13.8","52.4","84.0","96.8","99.2","99.8","99.9"
"MUS 2500 ","0.0","0.0","0.0","0.0","1.3","34.9","82.7","96.6","99.3","99.9"
"MUS 4790","0.0","0.0","0.0","0.0","0.0","7.6","55.6","84.8","95.2","98.3"
"General Education electives (6credit)","0.0","0.0","0.0","0.0","0.0","3.6","54.8","88.1","97.1","99.4"
"MUS 3200 ","0.0","0.0","0.0","1.4","18.5","56.4","85.8","97.6","99.0","99.8"
"Professional electives ","0.0","0.0","0.0","0.0","0.0","4.9","49.6","86.7","97.3","99.3"
"Dance elective ","0.0","0.0","0.0","0.0","4.6","28.5","66.8","90.6","97.5","99.7"
"Free electives ","0.0","0.0","0.0","0.0","0.0","0.0","17.1","70.2","92.9","98.7"
"MUS 4800","0.0","0.0","0.0","0.0","0.0","0.0","8.5","57.5","88.4","96.5"
"MUS 3210 ","0.0","0.0","0.0","0.0","0.4","7.3","38.0","77.2","94.9","99.6"
"General Education elective ","0.0","0.0","0.0","0.0","0.0","0.0","0.6","42.8","84.4","96.8"
"MUS 4810","0.0","0.0","0.0","0.0","0.0","0.1","4.0","47.3","84.3","97.4"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.1","14.7","58.4","87.5"
