"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"CHEM 1510","79.8","95.2","98.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 1520","81.4","96.8","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BIOS 1910","80.9","96.8","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"HSV 2250","79.9","95.2","98.9","99.7","99.8","100.0","100.0","100.0","100.0","100.0"
"SOC 2000","80.8","96.9","99.4","99.8","99.8","100.0","100.0","100.0","100.0","100.0"
"FCS 2250","81.2","96.9","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 1530","0.0","54.2","85.0","95.7","99.0","99.9","100.0","100.0","100.0","100.0"
"CHEM 1540","0.0","50.9","84.7","95.8","99.3","99.8","100.0","100.0","100.0","100.0"
"BIOS 2400","0.0","62.9","90.0","97.3","99.3","99.7","99.8","99.9","100.0","100.0"
"PSY 1000","0.0","80.0","96.5","98.9","99.4","99.8","99.8","100.0","100.0","100.0"
"ENGL 1050","0.0","74.0","94.6","98.4","99.4","99.9","100.0","100.0","100.0","100.0"
"NUR 2200","0.0","48.1","88.9","97.4","99.5","99.9","100.0","100.0","100.0","100.0"
"NUR 2210","0.0","0.0","73.6","95.4","98.7","99.8","100.0","100.0","100.0","100.0"
"NUR 2220","0.0","6.3","69.5","93.0","99.0","99.9","100.0","100.0","100.0","100.0"
"BIOS 2320","0.0","0.0","37.5","87.8","98.1","99.7","100.0","100.0","100.0","100.0"
"NUR 2300","0.0","0.0","0.0","17.1","63.5","89.8","97.6","99.5","100.0","100.0"
"NUR 2310","0.0","0.0","0.0","16.8","65.3","89.3","96.7","98.8","99.7","100.0"
"NUR 3330","0.0","0.0","32.3","83.8","97.1","99.4","99.7","100.0","100.0","100.0"
"NUR 3350","0.0","0.0","6.5","72.6","94.8","98.9","100.0","100.0","100.0","100.0"
"ELECTIVE","0.0","0.0","0.0","60.9","90.3","98.1","99.8","100.0","100.0","100.0"
"NUR 3200","0.0","0.0","0.0","0.0","10.8","45.0","77.1","92.0","97.1","99.2"
"NUR 3210","0.0","0.0","0.0","0.0","7.9","41.6","74.5","90.6","96.9","99.0"
"STAT 3660","0.0","0.0","0.0","34.9","81.8","96.5","99.3","99.9","100.0","100.0"
"AREA 1","0.0","0.0","0.0","15.7","70.1","92.9","98.2","99.4","99.8","100.0"
"NUR 3220","0.0","0.0","0.0","1.5","48.1","83.4","96.1","99.6","99.9","100.0"
"NUR 3300","0.0","0.0","0.0","0.0","0.0","4.4","28.3","60.0","81.5","93.0"
"NUR 3310","0.0","0.0","0.0","0.0","0.0","4.4","27.9","59.6","82.4","93.2"
"NUR 3320","0.0","0.0","0.0","0.0","0.0","3.7","27.9","59.6","82.4","92.9"
"NUR 4200","0.0","0.0","0.0","0.0","0.0","0.0","2.1","16.1","42.2","67.3"
"NUR 4210","0.0","0.0","0.0","0.0","0.0","0.0","2.3","15.4","41.6","66.4"
"AREA 4","0.0","0.0","0.0","0.0","24.4","70.4","92.0","98.3","99.5","100.0"
"NUR 4310","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.6","10.4","32.1"
"NUR 4320","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3","9.9","31.5"
"AREA 3","0.0","0.0","0.0","0.0","11.3","52.4","83.9","96.2","99.2","99.9"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3","8.1","27.2"
