"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12","TERM13","TERM14"
"BUS215","80.3","95.6","98.9","99.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"PSY201","80.3","95.9","98.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI121","81.7","95.6","99.5","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"HUM","81.3","95.8","98.9","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ELEC","78.9","96.0","99.1","99.6","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH111","0.0","79.1","96.8","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS102","81.3","95.8","98.6","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SPE111","0.0","78.1","96.1","99.5","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI122","0.0","65.0","89.4","97.7","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ELEC","0.0","65.8","93.8","99.1","99.8","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS223","0.0","32.8","86.8","97.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO201","0.0","0.0","63.8","90.7","96.7","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS206","0.0","0.0","77.7","95.6","99.5","99.8","99.9","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"WRI227","0.0","0.0","49.8","81.2","94.3","98.1","99.6","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"HUM","0.0","0.0","62.2","91.6","98.5","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ACC201","0.0","0.0","15.5","82.2","96.9","99.0","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH361","0.0","0.0","0.0","71.6","93.7","98.7","99.7","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS113","0.0","0.0","22.4","67.6","93.2","98.5","99.6","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"ELEC","0.0","0.0","0.0","45.4","87.2","96.7","99.2","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"ELEC","0.0","0.0","0.0","26.3","83.1","96.4","98.9","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS226","0.0","0.0","0.0","8.0","73.2","94.1","98.6","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO202","0.0","0.0","0.0","0.0","62.8","92.7","98.3","99.6","99.8","100.0","100.0","100.0","100.0","100.0"
"MATH371","0.0","0.0","0.0","0.0","42.3","86.6","97.5","99.6","99.9","100.0","100.0","100.0","100.0","100.0"
"ELEC","0.0","0.0","0.0","0.0","35.5","82.0","96.7","99.6","100.0","100.0","100.0","100.0","100.0","100.0"
"ELEC","0.0","0.0","0.0","0.0","11.3","73.0","95.0","98.8","99.8","100.0","100.0","100.0","100.0","100.0"
"ACC203","0.0","0.0","0.0","0.0","2.6","60.2","89.6","98.4","99.9","100.0","100.0","100.0","100.0","100.0"
