"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"COM1000","79.2","95.7","99.0","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL1050","78.8","96.1","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"GEOS1500","79.7","95.8","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"IME1020","79.1","96.0","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"PSY1000","79.7","95.7","99.2","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"COM2000","0.0","80.4","96.3","99.5","100.0","100.0","100.0","100.0","100.0","100.0"
"COM2800","0.0","64.7","90.0","97.4","99.6","99.9","100.0","100.0","100.0","100.0"
"ENGL2100","0.0","77.2","95.5","99.2","99.8","100.0","100.0","100.0","100.0","100.0"
"HIST2110","0.0","64.4","93.9","98.8","99.8","99.9","100.0","100.0","100.0","100.0"
"GEOG3900","0.0","32.7","85.1","97.1","99.5","99.9","100.0","100.0","100.0","100.0"
"REL2060","0.0","0.0","76.2","94.9","98.7","99.9","99.9","100.0","100.0","100.0"
"PHIL2200","0.0","0.0","72.5","95.0","98.9","99.9","100.0","100.0","100.0","100.0"
"COM1040","0.0","0.0","55.8","90.9","97.7","99.6","100.0","100.0","100.0","100.0"
"COM3320(Orgelect1)","0.0","0.0","27.4","80.6","96.4","99.3","99.9","100.0","100.0","100.0"
"GEOG1000","0.0","0.0","10.1","76.0","94.8","99.0","99.9","100.0","100.0","100.0"
"Math1000","0.0","0.0","0.0","67.0","93.6","98.8","99.8","100.0","100.0","100.0"
"COM2010","0.0","0.0","0.0","52.7","90.2","98.7","99.8","100.0","100.0","100.0"
"COM3050(Orgelect2)","0.0","0.0","0.0","32.0","84.8","98.0","99.7","99.9","100.0","100.0"
"SOC2000","0.0","0.0","0.0","14.0","77.1","95.8","98.8","99.9","100.0","100.0"
"SOC2100","0.0","0.0","0.0","3.6","66.6","91.3","98.1","100.0","100.0","100.0"
"COM3350","0.0","0.0","0.0","0.0","52.8","89.4","98.1","99.9","100.0","100.0"
"COM3070(orgelect3)","0.0","0.0","0.0","0.2","44.8","86.8","97.4","99.8","100.0","100.0"
"REL1000","0.0","0.0","0.0","0.0","16.7","75.7","92.7","98.5","99.6","100.0"
"SOC2600","0.0","0.0","0.0","0.0","16.6","69.5","92.1","98.4","99.9","99.9"
"SOC3140","0.0","0.0","0.0","0.0","0.9","52.8","88.0","97.4","99.5","100.0"
"A-S3990","0.0","0.0","0.0","0.0","0.0","39.7","84.4","97.0","99.3","99.8"
"COM4790","0.0","0.0","0.0","0.0","0.0","26.7","75.9","94.8","98.7","99.9"
"COM3540(Comelect1)","0.0","0.0","0.0","0.0","0.0","11.5","66.3","91.5","98.5","99.8"
"HIST3030","0.0","0.0","0.0","0.0","0.0","2.1","52.0","87.9","97.2","99.4"
"SOC3000","0.0","0.0","0.0","0.0","0.0","0.2","41.4","82.3","96.4","99.0"
"SOC3200","0.0","0.0","0.0","0.0","0.0","0.0","29.9","80.1","96.4","99.2"
"HEPE1110","0.0","0.0","0.0","0.0","0.0","0.0","22.8","72.7","94.6","99.0"
"ART1480","0.0","0.0","0.0","0.0","0.0","0.0","5.1","52.6","89.0","97.6"
"COM4800(Ogrelect3)","0.0","0.0","0.0","0.0","0.0","0.0","9.5","50.3","87.5","97.5"
"COM4830","0.0","0.0","0.0","0.0","0.0","0.0","0.0","30.6","75.8","95.5"
"GPS1500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.3","68.8","91.8"
"A-S3990","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.6","47.8","86.1"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.8","34.0","73.0"
