"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"ADA2250","82.0","95.6","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL1050","80.2","96.7","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"FYE2100","80.4","95.9","99.2","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL2100","81.8","97.0","99.6","99.8","99.9","100.0","100.0","100.0","100.0","100.0"
"GEOG3110","79.5","95.3","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MUS1520","0.0","80.2","96.7","99.4","99.9","100.0","100.0","100.0","100.0","100.0"
"SOC2000","0.0","80.1","95.8","99.3","99.6","99.8","100.0","100.0","100.0","100.0"
"COM1000","0.0","76.5","95.0","99.1","99.8","100.0","100.0","100.0","100.0","100.0"
"COM1700","0.0","69.1","94.2","98.6","99.6","99.8","99.8","99.9","100.0","100.0"
"COM2000","0.0","48.5","89.8","97.5","99.6","99.9","100.0","100.0","100.0","100.0"
"GEOG1000","0.0","0.0","79.4","96.5","99.1","99.9","100.0","100.0","100.0","100.0"
"COM2400","0.0","28.2","80.7","95.6","99.1","99.8","99.9","99.9","100.0","100.0"
"COM3050","0.0","0.0","63.0","93.4","98.4","99.5","99.9","100.0","100.0","100.0"
"WMS2000","0.0","0.0","42.9","88.9","97.8","99.8","100.0","100.0","100.0","100.0"
"COM2010","0.0","0.0","21.7","78.3","94.6","98.6","99.8","99.9","100.0","100.0"
"COM2800","0.0","0.0","7.6","68.0","92.6","98.5","99.9","100.0","100.0","100.0"
"GWS1000","0.0","0.0","2.7","64.6","92.2","98.4","99.7","100.0","100.0","100.0"
"COM2500","0.0","0.0","0.0","44.9","86.6","97.7","99.4","99.9","100.0","100.0"
"COM3050(twice)","0.0","0.0","0.0","32.3","85.0","95.8","98.7","99.7","100.0","100.0"
"JRN1000","0.0","0.0","0.0","21.8","78.8","95.5","99.1","99.7","99.9","100.0"
"SPAN1000","0.0","0.0","0.0","3.1","59.0","92.2","98.9","99.9","100.0","100.0"
"COM3320","0.0","0.0","0.0","7.0","52.6","89.0","97.5","99.6","100.0","100.0"
"COM3350","0.0","0.0","0.0","0.4","32.4","82.2","95.6","98.9","99.7","100.0"
"SOC2100","0.0","0.0","0.0","0.0","20.2","75.3","95.4","99.2","100.0","100.0"
"SOC2600","0.0","0.0","0.0","0.0","10.4","65.1","92.6","98.7","99.7","100.0"
"COM3540","0.0","0.0","0.0","0.0","2.2","50.8","89.1","97.4","99.7","100.0"
"COM3550","0.0","0.0","0.0","0.0","0.0","29.8","78.9","96.3","98.9","99.7"
"SOC3000","0.0","0.0","0.0","0.0","0.0","21.1","73.8","94.5","98.7","99.8"
"SPAN1010","0.0","0.0","0.0","0.0","0.0","11.0","62.5","93.0","98.7","99.5"
"COM4400","0.0","0.0","0.0","0.0","0.0","4.4","50.4","85.1","97.0","99.6"
"MATH1100","0.0","0.0","0.0","0.0","0.0","0.8","33.7","82.3","95.9","99.2"
"SOC3040","0.0","0.0","0.0","0.0","0.0","0.0","21.0","75.7","94.3","98.7"
"COM3590","0.0","0.0","0.0","0.0","0.0","0.0","12.9","64.2","91.4","98.0"
"COM4300","0.0","0.0","0.0","0.0","0.0","0.0","7.4","55.1","89.4","98.8"
"GEOG1050","0.0","0.0","0.0","0.0","0.0","0.0","1.9","33.5","82.1","97.1"
"HPHE1110","79.0","83.4","86.8","90.6","95.5","97.6","99.0","99.9","100.0","100.0"
"MATH1140","0.0","0.0","0.0","0.0","0.0","0.0","3.4","33.4","77.0","94.8"
"SOC3620","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.2","63.8","91.1"
"SOC4540","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.7","52.5","87.9"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","31.8","73.2"
