"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"BUS1750","79.9","97.0","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"CIS1020","81.1","96.3","99.6","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"ENGL1050","80.4","96.6","99.5","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"PSCI2000","79.1","96.8","99.0","99.8","99.9","100.0","100.0","100.0","100.0","100.0"
"ANTH1100","78.4","95.1","98.8","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"BCM1420","0.0","79.8","96.5","99.5","99.9","100.0","100.0","100.0","100.0","100.0"
"MATH1160","0.0","78.3","96.5","99.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MUS1510","0.0","73.3","94.6","99.2","99.8","100.0","100.0","100.0","100.0","100.0"
"ACTY2100","0.0","61.8","91.9","98.2","99.8","100.0","100.0","100.0","100.0","100.0"
"BUS2700","0.0","25.0","83.9","97.2","99.9","99.9","99.9","99.9","100.0","100.0"
"ECON2010","0.0","0.0","78.1","95.2","99.2","99.9","100.0","100.0","100.0","100.0"
"HIST3010","0.0","0.0","73.0","94.0","99.0","99.7","99.9","99.9","99.9","100.0"
"STAT2160","0.0","0.0","62.8","92.1","98.5","99.9","100.0","100.0","100.0","100.0"
"ACTY2110","0.0","0.0","37.0","80.1","93.9","98.9","99.7","99.9","100.0","100.0"
"ECON2020","0.0","0.0","34.6","86.1","97.5","99.3","99.9","100.0","100.0","100.0"
"CIS2700","0.0","0.0","10.1","77.3","95.5","99.2","99.8","100.0","100.0","100.0"
"MGMT2500","0.0","0.0","0.0","71.2","93.4","98.6","99.5","99.9","100.0","100.0"
"MKTG2500","0.0","0.0","0.0","60.2","92.6","99.0","99.8","99.9","99.9","100.0"
"BUS3750","0.0","0.0","0.0","39.4","81.4","94.8","98.9","99.7","99.9","100.0"
"BUS3900","0.0","0.0","0.0","28.4","82.5","95.5","99.2","99.8","100.0","100.0"
"FIN3200","0.0","0.0","0.0","10.7","70.0","93.7","98.6","100.0","100.0","100.0"
"GEOS1000","0.0","0.0","0.0","4.0","66.9","92.6","99.3","99.9","100.0","100.0"
"LAW3800","0.0","0.0","0.0","0.4","57.7","90.3","97.8","99.7","99.9","100.0"
"ECON3450","0.0","0.0","0.0","0.0","39.8","85.7","97.0","99.6","99.9","100.0"
"GEOG1000","0.0","0.0","0.0","0.0","11.9","73.1","95.4","99.5","99.9","100.0"
"MKTG3600","0.0","0.0","0.0","0.0","14.8","65.8","93.5","98.1","99.4","99.9"
"MKTG3710","0.0","0.0","0.0","0.0","0.3","49.5","87.1","97.4","99.4","99.9"
"MUS1520","0.0","0.0","0.0","0.0","2.5","40.5","83.0","96.7","99.6","99.9"
"BUS4750","0.0","0.0","0.0","0.0","0.0","18.6","66.1","89.1","97.3","99.3"
"ECON4060","0.0","0.0","0.0","0.0","0.0","14.7","70.7","93.8","99.3","99.9"
"MKTG3760","0.0","0.0","0.0","0.0","0.0","5.8","61.9","91.5","98.6","99.5"
"ECON3880","0.0","0.0","0.0","0.0","0.0","1.2","50.5","89.0","97.5","99.4"
"HIST2110","0.0","0.0","0.0","0.0","0.0","0.2","36.9","81.6","96.5","99.6"
"ANTH3440","0.0","0.0","0.0","0.0","0.0","0.1","25.1","75.3","94.9","98.7"
"HIST3020","0.0","0.0","0.0","0.0","0.0","0.0","13.2","64.4","92.8","98.4"
"MKTG4100","0.0","0.0","0.0","0.0","0.0","0.0","5.1","53.3","88.2","97.3"
"ADA2250","0.0","0.0","0.0","0.0","0.0","0.0","1.6","46.6","85.2","96.8"
"MKTG2900(Elective)","0.0","0.0","0.0","0.0","0.0","0.0","0.3","34.5","80.1","96.1"
"MKTG4600","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.9","72.3","95.0"
"MKTG4700","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.3","62.2","90.8"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.2","37.4","76.9"
