"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12","TERM13","TERM14"
"CH200","80.5","96.1","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"GS1001","78.6","95.7","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MA136","79.6","95.6","99.0","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SE1011","80.8","96.0","99.1","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"GS1002","0.0","79.2","95.7","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MA137","0.0","61.3","90.0","96.8","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"PH2011","0.0","71.8","93.9","98.7","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SE1021","0.0","39.1","84.3","96.5","99.0","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CS2852","0.0","0.0","32.1","73.6","91.9","97.1","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"GS1003","0.0","0.0","76.8","94.7","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MA231","0.0","0.0","43.6","80.6","93.5","98.4","99.7","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"PH2021","0.0","0.0","42.2","86.3","97.0","99.6","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CS2911","0.0","0.0","1.9","70.0","93.4","98.6","99.7","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MA2310","0.0","0.0","0.0","50.1","87.4","97.0","99.0","99.8","99.8","99.8","99.9","100.0","100.0","100.0"
"SE2030","0.0","0.0","0.0","44.5","85.7","96.3","98.7","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"Math/Science Elective","0.0","0.0","0.0","28.5","81.3","97.4","99.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"Business Elective","0.0","0.0","0.0","7.3","68.4","93.2","98.1","99.5","99.9","100.0","100.0","100.0","100.0","100.0"
"CS2711","0.0","0.0","0.0","0.0","54.3","91.1","98.5","99.8","99.9","99.9","99.9","99.9","100.0","100.0"
"SE2811","0.0","0.0","0.0","0.0","29.7","73.0","92.0","97.1","99.4","100.0","100.0","100.0","100.0","100.0"
"SE2840","0.0","0.0","0.0","0.0","24.5","71.4","92.1","97.9","99.5","99.9","100.0","100.0","100.0","100.0"
"Science Elective","0.0","0.0","0.0","0.0","5.0","59.2","89.9","97.0","99.1","100.0","100.0","100.0","100.0","100.0"
"MA262","0.0","0.0","0.0","0.0","12.1","63.0","90.1","98.0","99.8","99.9","100.0","100.0","100.0","100.0"
"MS344","0.0","0.0","0.0","0.0","0.1","40.5","84.2","96.5","99.3","99.9","100.0","100.0","100.0","100.0"
"SE2040","0.0","0.0","0.0","0.0","0.0","23.2","74.3","93.4","98.8","99.6","99.9","100.0","100.0","100.0"
"SE2800","0.0","0.0","0.0","0.0","0.0","12.5","64.3","91.2","98.5","99.8","100.0","100.0","100.0","100.0"
"SE2832","0.0","0.0","0.0","0.0","0.0","3.0","50.0","86.6","97.0","99.6","99.6","99.9","100.0","100.0"
"CS3860","0.0","0.0","0.0","0.0","0.0","0.0","38.2","81.8","96.1","98.9","99.8","99.9","100.0","100.0"
"OR402","80.5","97.2","99.5","99.7","99.7","99.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SE3010","0.0","0.0","0.0","0.0","0.0","0.0","8.8","52.6","83.1","94.8","98.5","99.9","100.0","100.0"
"SE3800","0.0","0.0","0.0","0.0","0.0","0.0","8.3","49.0","82.3","94.8","98.6","99.4","99.7","99.9"
"SE3821","0.0","0.0","0.0","0.0","0.0","0.0","19.0","61.0","87.1","97.8","99.4","99.8","100.0","100.0"
"CS3840","0.0","0.0","0.0","0.0","0.0","0.0","5.2","35.8","75.4","93.4","98.7","99.7","99.9","99.9"
"MA3320","0.0","0.0","0.0","0.0","0.0","0.1","2.1","39.4","81.5","95.7","99.0","99.7","99.9","100.0"
"SE3020","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.3","40.9","74.1","90.6","97.6","99.4","99.9"
"SE3810","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.3","48.8","78.9","93.8","98.1","99.5","99.9"
"Humanities/Social Science Elective","0.0","0.0","0.0","0.0","0.0","0.1","0.1","10.0","52.0","86.1","96.7","99.4","99.9","100.0"
"CS3851","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7","25.2","68.4","90.0","97.0","99.1","99.7"
"HU432","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1","26.2","70.5","92.0","98.2","99.4","100.0"
"MA383","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.7","53.7","87.2","96.7","99.8","99.9"
"SE3030","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.2","26.5","61.4","84.6","94.6","98.0"
"Free Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.2","35.2","76.9","92.9","98.5","99.5"
"SE3910","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","20.1","64.4","89.7","97.2","99.8"
"SE400","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7","21.1","52.8","78.6","91.0"
"Technical Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","13.7","56.2","85.7","96.4","98.6"
"Math/Science Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.2","38.8","77.2","94.6","99.0"
"Humanities/Social Science Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7","25.2","67.2","90.0","98.0"
"IE423","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","16.5","59.3","86.6","96.6"
"SE401","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2","15.8","45.3","71.7"
"Technical Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","11.4","48.8","83.4","95.7"
"Math/Science Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.8","38.0","76.4","93.9"
"Humanities/Social Science Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.2","29.4","67.7","91.2"
"SE402","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8","12.2","38.1"
"Technical Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","18.7","59.4","88.1"
"Humanities/Social Science Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","11.8","46.4","81.6"
